"|     | MAE_arima| MAE_sarimax_lasso|"
"|:----|---------:|-----------------:|"
"|h=1  |  16.50034|          16.89853|"
"|h=2  |  19.27714|          17.50898|"
"|h=3  |  20.52987|          18.40910|"
"|h=4  |  21.08235|          19.21143|"
"|h=5  |  21.06927|          19.55209|"
"|h=6  |  21.60448|          19.21517|"
"|h=7  |  21.06351|          20.51605|"
"|h=8  |  20.61029|          19.78823|"
"|h=9  |  20.45732|          19.39076|"
"|h=10 |  21.07683|          19.85994|"
"|h=11 |  21.36897|          19.68732|"
"|h=12 |  22.34099|          19.09518|"
"|h=13 |  22.55563|          18.70861|"
"|h=14 |  23.55673|          18.93343|"
"|h=15 |  24.40595|          19.91490|"
